BindingDB Reactant_set_id,Ligand SMILES,IC50 (nM)
51296560,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CN[C@H](CCNS(C)(=O)=O)C[C@H]1c1ccc(F)c(F)c1,3.3
51296561,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CN[C@H](CC(O)CO)C[C@H]1c1ccc(F)c(F)c1,3.3
1135409,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCCN1CCCCC1)c1ccc(Cl)cc1,3.3
29950,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cccc(OC(F)(F)F)c2)c1,3.3
30619,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)\C(=C/C3CC3)c2c1)Cc1c[nH]c2ccccc12,3.3
329977,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCCC2)-c2ccc(F)cc2)c1Cl,3.3
50530190,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)C(C3CC3)c2c1)Cc1c[nH]c2ccccc12,3.3
228766,Nc1ncccc1-c1nc2ccc(nc2n1-c1ccc(cc1)C1(N)CCC1)-c1cccc(c1)N1CCC(CC1)C(=O)N1CCOCC1,3.36
51296551,CC(=O)OCC[C@@H]1C[C@H]([C@@H](CN1)NC(=O)c1cc(c(Cl)o1)-c1c(Cl)cnn1C)c1ccc(F)c(F)c1,3.4
50989096,CN1CCCC[C@H]1[C@H](O)COc1ccccc1,3.4
50530234,N[C@H](COc1cncc(c1)-c1ccc2cnc(N)cc2c1)Cc1c[nH]c2ccccc12,3.4
903528,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCn1ccnc1)c1ccc(Cl)cc1,3.4
51296610,CN(C)CC[C@@H]1C[C@H]([C@@H](CN1)NC(=O)c1cc(c(Cl)o1)-c1c(Cl)cnn1C)c1ccc(Cl)c(Cl)c1,3.4
228770,CC(C)(C)C(=O)N1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1,3.42
261992,NC1(CCC1)c1ccc(cc1)-n1c(nc2ccc(nc12)-c1cccc(c1)N1CCOCC1)C1CCCCC1,3.47
51504416,CC(C)NC[C@@H](C(=O)N1CC2CCC(C1)N2c1ncnc2NC(=O)C[C@@H](C)c12)c1ccc(Cl)cc1,3.5
330064,Cc1cc(ccc1F)-c1cn(CCN2CCCC2)c(n1)C1CCN(CC1)c1ncnc(N)c1C#N,3.5
30660,N[C@H](COc1cncc(c1)-c1ccc2cnc(F)cc2c1)Cc1c[nH]c2ccccc12,3.5
50859594,O=c1[nH]ccc2nc(-c3ccc(CN4CCC(CC4)c4nnc([nH]4)-c4ccccn4)cc3)c(cc12)-c1ccccc1,3.5
50418187,O=C1NCCc2nc(-c3ccc(CN4CCC(CC4)c4nnc([nH]4)-c4ccccn4)cc3)c(cc12)-c1ccccc1,3.5
448043,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)NC(CCCN1CCCC1)c1ccc(Cl)cc1,3.6
329913,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCNC2CC2)-c2ccnc(c2)C(F)(F)F)c1Cl,3.6
329898,NCCn1cc(nc1C1CCN(CC1)c1ncnc(N)c1C#N)-c1ccc(F)c(c1)C(F)(F)F,3.6
29923,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(Cl)c(F)c2)c1,3.6
903526,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCN1CCCCC1)c1ccc(Cl)cc1,3.7
256460,NC1(CC(O)(C1)C1CC1)c1ccc(cc1)-c1nc2-c3c(F)cccc3OCn2c1-c1ccccc1,3.7
51324978,Cl.NCc1ccc(cc1)-n1c(nc2ccc(nc12)-c1ccccc1)-c1cccnc1N,3.7
256477,COc1ccc2-c3nc(c(-c4ccccc4)n3COc2c1)-c1ccc(cc1)C1(N)CC(O)(C1)C1CC1,3.7
